"nid"	"departamento_code"	"departamento_name"	"id"	"municipio_name"	"km2"	"habtotkm2"	"habrurkm2"	"pob2012t"	"pob2012ur"	"pob2012ru"	"pob2015t"	"pob2015ur"	"pob2015ru"	"municipio_capital_name"	"lat"	"lon"	"dms_lat"	"dms_lon"	"asnm"	"pob1963t"	"pob1963ur"	"pob1963ru"	"pob1971t"	"pob1971ur"	"pob1971ru"	"pob1995t"	"pob1995ur"	"pob1995ru"	"pob2005t"	"pob2005ur"	"pob2005ru"	"pob2008ur"	"pob2008ru"	"pob2008t"	"pob2009ur"	"pob2009ru"	"pob2009t"	"MACROREGIO"	"DEPTO"	"MUNICIPIO"	"POB_06"	"PURB_06"	"PRUR_06"	"POB_07"	"PURB_07"	"PRUR_07"	"POB_08"	"PURB_08"	"PRUR_08"	"POB_09"	"PURB_09"	"PRUR_09"	"POB_10"	"PURB_10"	"PRUR_10"	"POB_11"	"PURB_11"	"PRUR_11"	"POB_12"	"PURB_12"	"PRUR_12"	"POB_13"	"PURB_13"	"PRUR_13"	"POB_14"	"PURB_14"	"PRUR_14"
106	70	Granada 	7005	Diriá	25.52	275.862069	114.8119122	7040	4110	2930	7112	4274	2838	Diriá	11.88333333	-86.05	115300	-860300	364	3193	1733	1460	3200	1939	1261	6451	3447	3004	6763	3883	2880	4010	2891	6901	4059	2892	6951	Pacifico	GRANADA	Dira	6803	3925	2878	6843	3968	2875	6883	4012	2871	6923	4055	2868	6962	4098	2864	7001	4138	2864	7040	4178	2862	7064	4210	2854	7088	4243	2846
107	70	Granada 	7010	Diriomo	50.08	608.5662939	353.534345	30477	12772	17705	31627	14365	17262	Diriomo	11.86666667	-86.05	115200	-860300	344	8379	3215	5164	8910	3621	5289	24785	8727	16058	27495	10958	16537	10369	14705	25074	10623	14724	25347	Pacifico	GRANADA	Diriomo	27908	11272	16636	28326	11595	16731	28748	11925	16823	29174	12264	16910	29604	12611	16994	30038	12956	17082	30477	13313	17163	30858	13655	17203	31241	14005	17237
108	70	Granada 	7015	Granada	592.07	208.9229314	46.52321516	123697	96152	27545	126846	99685	27161	Granada	11.91666667	-86.95	115500	-865700	60	40104	28507	11597	44453	35422	9031	105996	78444	27552	114738	88606	26132	92135	26684	118819	93299	26727	120026	Pacifico	GRANADA	Granada	116003	89799	26203	117273	91001	26272	118548	92210	26339	119829	93427	26402	121114	94648	26466	122403	95780	26623	123697	96910	26787	124748	97843	26905	125798	98768	27029
109	70	Granada 	7020	Nandaime	372.01	106.924545	55.29152442	39777	19208	20569	40424	20221	20203	Nandaime	11.75	-86.05	114500	-860300	140	13967	5051	8916	14539	5677	8862	35762	16054	19708	37679	17830	19849	18505	20041	38546	18780	20109	38889	Pacifico	GRANADA	Nandaime	37980	18078	19902	38281	18328	19953	38582	18579	20002	38881	18833	20048	39181	19087	20094	39479	19328	20152	39777	19574	20203	39995	19786	20209	40211	20002	20209
110	75	Carazo 	7505	San Marcos	118.11	267.9874693	91.90585048	31652	20797	10855	32167	21144	11023	San Marcos	11.9	-86.2	115400	-861200	552	9825	3367	6458	10046	3491	6555	26799	16616	10183	29983	19732	10251	20152	10535	30687	20328	10610	30938	Pacifico	CARAZO	San Marcos	30222	19897	10326	30462	20061	10401	30701	20223	10477	30939	20390	10549	31178	20553	10625	31415	20695	10720	31652	20839	10813	31825	20940	10885	31997	21042	10955
111	85	Río San Juan 	8515	San Miguelito	1096.59	16.67532989	13.68423932	18286	3280	15006	18639	3680	14960	San Miguelito	11.4	-84.9	112400	-845400	44	4045	885	3160	4959	1284	3675	13756	3114	10642	17201	2896	14305	33330	11283	44613	33577	11408	44985	Atlantico	RIO SAN JUAN	San Miguelito	17356	2973	14383	17511	3049	14462	17666	3128	14538	17821	3207	14614	17976	3288	14688	18131	3368	14763	18286	3449	14837	18405	3525	14879	18522	3602	14920
112	75	Carazo 	7510	Jinotepe	280.52	181.1350349	45.93611864	50812	37926	12886	52174	38584	13590	Jinotepe	11.85	-86.2	115100	-861200	569	15957	9113	6844	12483.3	12461	22.3	41921	28117	13804	46988	35333	11655	7082	241	7323	7156	264	7420	Pacifico	CARAZO	Jinotepe	47526	35698	11828	48068	36064	12004	48612	36430	12182	49158	36803	12356	49707	37169	12538	50259	37500	12759	50812	37830	12982	51266	38083	13184	51720	38334	13386
113	75	Carazo 	7515	Dolores	2.62	2985.496183	106.4885496	7822	7543	279	8142	7636	506	Dolores	11.85	-86.21666667	115100	-861300	583	1190	899	291	1648	1230	418	5651	5148	503	7006	6860	146	38235	22484	60719	38795	22422	61217	Pacifico	CARAZO	Dolores	7119	6949	169	7233	7039	194	7348	7128	220	7465	7221	244	7582	7311	271	7702	7393	309	7822	7470	352	7928	7530	398	8035	7586	449
114	75	Carazo 	7520	Diriamba	348.88	179.5201789	65.7532676	62631	39691	22940	63459	41643	21817	Diriamba	11.85	-86.23333333	115100	-861400	580	24182	10499	13683	25575	10151	15424	53290	31811	21479	59745	37048	22697	3056	2979	6035	3124	3022	6146	Pacifico	CARAZO	Diriamba	60162	37537	22625	60578	38031	22547	60992	38526	22466	61405	39032	22373	61816	39534	22282	62224	40001	22224	62631	40471	22160	62911	40862	22049	63187	41253	21934
115	75	Carazo 	7525	El Rosario	14.08	474.1477273	233.1676136	6676	3393	3283	7161	3719	3442	El Rosario	11.83333333	-86.16666667	115000	-861000	470	1348	886	462	1791	1027	764	4152	2255	1897	5575	2803	2773	2645	2463	5108	2679	2483	5162	Pacifico	CARAZO	El Rosario	5722	2887	2835	5872	2972	2900	6026	3061	2965	6183	3152	3031	6343	3246	3097	6508	3339	3169	6676	3434	3242	6834	3527	3307	6996	3622	3374
116	75	Carazo 	7530	La Paz de Carazo	15.51	345.2611219	166.0863959	5355	2779	2576	5491	2882	2609	La Paz de Carazo	11.81666667	-86.11666667	114900	-860700	396	1796	828	968	1765	922	843	4338	1850	2488	4967	2567	2401	5362	12315	17677	5488	12293	17781	Pacifico	CARAZO	La Paz de Carazo	5022	2599	2423	5077	2632	2445	5132	2666	2466	5188	2700	2487	5243	2734	2509	5299	2766	2533	5355	2798	2557	5400	2825	2575	5446	2854	2592
117	75	Carazo 	7535	Santa Teresa	213.3	84.11626817	58.15752461	17942	5537	12405	18125	6202	11923	Santa Teresa	11.8	-86.15	114800	-860900	400	8988	2481	6507	9337	2800	6537	17902	4403	13499	17235	4984	12252	882	3067	3949	892	3080	3972	Pacifico	CARAZO	Santa Teresa	17338	5099	12239	17441	5217	12224	17543	5338	12205	17644	5462	12182	17744	5586	12158	17843	5710	12133	17942	5837	12105	18004	5956	12049	18065	6077	11988
118	75	Carazo 	7540	La Conquista	88.38	45.34962661	35.16632722	4008	900	3108	4049	947	3102	La Conquista	11.73333333	-86.18333333	114400	-861100	180	2602	364	2238	2860	537	2323	3996	788	3208	3850	849	3001	6241	16633	22874	6363	16591	22954	Pacifico	CARAZO	La Conquista	3873	858	3015	3896	868	3028	3919	878	3041	3941	888	3054	3964	897	3067	3986	907	3079	4008	917	3091	4022	925	3097	4036	936	3099
119	80	Rivas 	8005	Tola	476.53	48.55937716	35.099574	23140	6414	16726	23376	7119	16257	Tola	11.43333333	-85.93333333	112600	-855600	40	8680	751	7929	10046	987	9059	20134	1729	18405	22229	5805	16423	7113	10768	17881	7205	10743	17948	Pacifico	RIVAS	Tola	22362	5933	16429	22494	6061	16433	22625	6192	16433	22755	6327	16428	22884	6463	16421	23013	6596	16417	23140	6732	16408	23220	6858	16363	23299	6988	16311
120	80	Rivas 	8010	Belén	246.26	73.58482904	44.04694226	18121	7274	10847	18306	7736	10570	Belén	11.5	-85.88333333	113000	-855300	80	7884	2672	5212	8621	3029	5592	16927	4219	12708	17407	6765	10643	5163	7626	12789	5230	7610	12840	Pacifico	RIVAS	Belen	17511	6866	10645	17615	6968	10647	17718	7070	10648	17820	7175	10645	17921	7279	10642	18021	7378	10644	18121	7477	10644	18184	7562	10622	18245	7649	10597
121	80	Rivas 	8015	Potosí	143.59	90.4101957	53.59008287	12982	5287	7695	13189	5647	7542	Potosí	11.48333333	-85.85	112900	-855100	63	4494	762	3732	4989	1054	3935	11108	3469	7639	12307	4857	7450	2346	3284	5630	2373	3274	5647	Pacifico	RIVAS	Potosi	12404	4937	7466	12501	5019	7482	12597	5101	7496	12694	5186	7508	12790	5270	7520	12886	5350	7536	12982	5431	7551	13052	5502	7550	13121	5574	7547
122	80	Rivas 	8020	Buenos Aires	75.22	75.47194895	43.76495613	5677	2385	3292	5735	2525	3210	Buenos Aires	11.46666667	-85.81666667	112800	-854900	53	2646	900	1746	3286	1292	1994	4877	1387	3490	5453	2224	3229	4909	5289	10198	4910	5319	10229	Pacifico	RIVAS	Buenos Aires	5486	2256	3230	5518	2288	3231	5551	2320	3231	5583	2353	3230	5614	2385	3230	5646	2416	3230	5677	2446	3231	5697	2473	3224	5716	2499	3217
123	80	Rivas 	8025	Moyogalpa	65.96	155.9126743	81.07944209	10284	4936	5348	10389	4880	5509	Moyogalpa	11.53333333	-85.68333333	113200	-854100	60	4318	1252	3066	6152	1558	4594	8913	3283	5630	9879	4813	5066	7635	14084	21719	7697	14115	21812	Pacifico	RIVAS	Moyogalpa	9938	4828	5110	9997	4842	5155	10055	4855	5200	10113	4869	5244	10170	4882	5288	10227	4889	5339	10284	4895	5389	10320	4890	5430	10355	4885	5469
124	80	Rivas 	8030	Altagracia	211.21	104.5783817	67.67671985	22088	7794	14294	22476	8112	14364	Altagracia	11.56666667	-85.56666667	113400	-853400	70	8238	1461	6777	7351	1521	5830	18468	1988	16480	20861	7277	13584	7365	1132	8497	7376	1158	8534	Pacifico	RIVAS	Altagracia	21037	7365	13672	21213	7453	13759	21388	7542	13846	21563	7632	13931	21739	7722	14017	21913	7804	14109	22088	7890	14198	22218	7961	14257	22348	8035	14312
125	80	Rivas 	8035	San Jorge	24.83	348.1272654	47.24124043	8644	7471	1173	8798	7410	1389	San Jorge	11.45	-85.8	112700	-854800	50	3203	1657	1546	4128	2895	1233	7203	5719	1484	8158	7162	996	29694	15193	44887	29860	15309	45169	Pacifico	RIVAS	San Jorge	8228	7200	1027	8297	7238	1059	8367	7275	1092	8436	7313	1123	8506	7348	1157	8575	7374	1201	8644	7398	1246	8696	7404	1291	8747	7408	1339
126	80	Rivas 	8040	Rivas	280.54	180.6658587	61.23547444	50684	33505	17179	52196	34157	18039	Rivas	11.43333333	-85.81666667	112600	-854900	57	17432	7721	9711	20612	10007	10605	42924	23686	19238	46548	30972	15576	7631	7716	15347	7738	7667	15405	Pacifico	RIVAS	Rivas	47128	31332	15796	47712	31690	16022	48299	32050	16249	48890	32418	16473	49485	32778	16707	50083	33102	16980	50684	33424	17260	51187	33674	17514	51691	33917	17774
127	80	Rivas 	8045	San Juan del Sur	411.05	37.83724608	18.83225885	15553	7812	7741	15711	8339	7373	San Juan del Sur	11.25	-85.86666667	111500	-855200	3	5500	2103	3397	6891	2432	4459	13337	5526	7811	14940	7234	7706	1069	6248	7317	1111	6234	7345	Pacifico	RIVAS	San Juan del Sur	15030	7350	7679	15119	7468	7651	15207	7585	7622	15294	7706	7589	15381	7825	7556	15467	7938	7529	15553	8051	7502	15607	8149	7458	15660	8244	7416
128	80	Rivas 	8050	Cárdenas	226.63	32.72294048	27.77655209	7416	1121	6295	7492	1391	6100	Cárdenas	11.18333333	-85.5	111100	-853000	40	1966	366	1600	2053	521	1532	4795	740	4055	7124	941	6183	2101	5126	7227	2129	5173	7302	Pacifico	RIVAS	Cardenas	7167	980	6186	7209	1020	6189	7251	1063	6188	7293	1106	6186	7334	1152	6182	7375	1198	6177	7416	1246	6170	7442	1293	6149	7467	1341	6125
129	85	Río San Juan 	8505	Morrito	678.94	10.87283118	7.703184376	7382	2152	5230	7457	2210	5247	Morrito	11.61666667	-85.06666667	113700	-850400	45	4965	324	4641	5435	789	4646	6586	1029	5557	7091	2047	5044	3097	11021	14118	3159	11104	14263	Atlantico	RIO SAN JUAN	Morrito	7134	2066	5067	7176	2086	5090	7218	2105	5113	7259	2123	5136	7300	2142	5159	7341	2158	5183	7382	2175	5207	7408	2187	5221	7433	2199	5234
130	85	Río San Juan 	8510	El Almendro	1009.01	14.29123596	11.126748	14420	3193	11227	14655	3435	11219	El Almendro	11.66666667	-84.7	114000	-844200	190	0	0	0	0	0	0	12090	1486	10604	13659	2916	10744	3160	14743	17903	3245	14843	18088	Atlantico	RIO SAN JUAN	El Almendro	13769	2970	10799	13878	3024	10854	13987	3078	10909	14095	3131	10964	14204	3187	11017	14312	3240	11072	14420	3293	11127	14499	3340	11159	14577	3388	11190
131	85	Río San Juan 	8520	San Carlos	1444.8	34.93424695	23.3326412	50473	16762	33711	50988	16940	34048	San Carlos	11.11666667	-84.76666667	110700	-844600	39	6067	1547	4520	9717	2487	7230	37480	11621	25859	48486	16097	32388	13665	27499	41164	13881	27916	41797	Atlantico	RIO SAN JUAN	San Carlos	48775	16212	32564	49064	16323	32740	49350	16433	32917	49634	16533	33101	49916	16638	33278	50196	16723	33473	50473	16807	33666	50648	16853	33795	50820	16898	33922
132	85	Río San Juan 	8525	El Castillo	1654.81	18.21961434	15.33589959	30150	4772	25378	33326	5962	27364	Boca de Sabalos	11.03333333	-84.46666667	110200	-842800	50	0	0	0	0	0	0	11900	386	11514	23477	3422	20054	3678	20052	23730	3867	20564	24431	Atlantico	RIO SAN JUAN	El Castillo	24336	3625	20711	25225	3839	21386	26145	4065	22080	27097	4302	22795	28081	4553	23528	29098	4814	24284	30150	5088	25062	31176	5366	25810	32234	5656	26578
133	85	Río San Juan 	8530	San Juan de Nicaragua	427.57	4.572350726	1.188109549	1955	1447	508	6777	3741	3035	San Juan de Limay	13.16666667	-86.6	131000	-863600	281	890	620	270	1119	625	494	3176	1399	1777	4774	2683	2091	1201	406	1607	1232	432	1664	Pacifico	MASAYA	San Juan de Oriente	4949	2777	2172	5130	2876	2254	5317	2976	2340	5510	3081	2429	5710	3188	2522	5917	3296	2621	6131	3407	2724	6340	3515	2824	6555	3627	2928
134	91	RAAN	9105	Waspán	9341.71	6.135921582	5.124971766	57320	9444	47876	58845	11156	47689	Waspán	14.73333333	-83.96666667	144400	-835800	30	11097	973	10124	13339	1204	12135	39752	6007	33745	53030	8007	45024	8771	45647	54418	9159	46427	55586	Atlantico	RAAN	Waspan	53635	8285	45349	54242	8572	45670	54853	8868	45984	55466	9167	46299	56081	9480	46601	56699	9798	46901	57320	10132	47188	57828	10459	47369	58337	10801	47536
135	91	RAAN	9110	Puerto Cabezas	5984.81	16.91214926	6.512487447	101216	62240	38976	110334	69499	40835	Bilwi	14.01666667	-82.38333333	140100	-822300	10	11621	5983	5638	13466	5528	7938	49951	28370	21581	81408	49149	32259	48968	31041	80009	50761	31787	82548	Atlantico	RAAN	Puerto Cabezas	84000	51000	32999	86667	52914	33753	89413	54893	34520	92238	56891	35347	95146	59000	36146	98138	61100	37038	101216	63243	37973	104177	65299	38878	107216	67386	39830
136	91	RAAN	9115	Rosita	2205.42	13.85314362	8.430593719	30552	11959	18593	32808	13399	19409	Rosita	13.91666667	-84.4	135500	-842400	60	0	0	0	0	0	0	16623	6752	9871	25448	9684	15764	10695	16826	27521	11087	17237	28324	Atlantico	RAAN	Rosita	26127	10024	16103	26823	10373	16449	27534	10733	16801	28263	11096	17166	29008	11478	17531	29771	11859	17913	30552	12249	18303	31289	12624	18665	32041	13007	19033
137	91	RAAN	9120	Bonanza	1897.94	13.02201334	7.125093522	24715	11192	13523	26540	12416	14124	Bonanza	14.01666667	-84.58333333	140100	-843500	180	0	0	0	0	0	0	13277	5013	8264	20586	9116	11471	10024	12239	22263	10376	12537	22913	Atlantico	RAAN	Bonanza	21136	9421	11714	21698	9736	11962	22274	10060	12214	22863	10385	12478	23466	10726	12740	24083	11065	13018	24715	11412	13303	25311	11741	13570	25919	12076	13843
138	91	RAAN	9125	Waslala	1329.51	47.72058879	38.64656904	63445	12064	51381	67116	14363	52753	Waslala	13.33333333	-85.36666667	132000	-852200	420	0	0	0	0	0	0	37053	4594	32459	54729	9670	45058	10857	47303	58160	11354	48353	59707	Atlantico	RAAN	Waslala	55909	10072	45836	57110	10490	46620	58333	10923	47410	59578	11364	48214	60845	11829	49016	62134	12305	49828	63445	12805	50640	64651	13302	51349	65875	13822	52053
139	91	RAAN	9127	Mulukukú	1904.53	22.06948696	18.55470904	42032	6694	35338	46511	8573	37938	MulukukÌ_	13.16666667	-84.95	131000	-845700	80	0	0	0	0	0	0	32644	0	32644	32644	4748	27896	5692	30869	36561	6023	31792	37815	Atlantico	RAAN	Mulukuku	33851	5042	28809	35101	5353	29749	36395	5684	30711	37733	6028	31705	39118	6399	32719	40550	6788	33763	42032	7203	34829	43478	7630	35848	44971	8087	36884
140	91	RAAN	9130	Siuna	3421.58	29.74356876	24.47378112	101770	18031	83739	102807	20717	82090	Siuna	13.73333333	-84.76666667	134400	-844600	200	0	0	0	0	0	0	81563	13073	68490	97762	15988	81774	13935	66321	80256	14726	68389	83115	Atlantico	RAAN	Siuna	98346	16426	81921	98927	16874	82054	99505	17331	82174	100078	17785	82293	100646	18261	82386	101211	18738	82472	101770	19235	82535	102123	19711	82412	102469	20206	82263
141	91	RAAN	9135	Prinzapolka	7020.48	4.627888691	4.069949633	32490	3917	28573	35912	5288	30624	Prinzapolka	13.4	-83.55	132400	-833300	5	16619	7740	8879	24321	8277	16044	8986	565	8421	25299	2688	22611	2723	20589	23312	2988	21796	24784	Atlantico	RAAN	Prinzapolka	26225	2878	23347	27183	3083	24100	28175	3301	24873	29200	3531	25669	30260	3780	26480	31356	4044	27313	32490	4328	28162	33596	4625	28970	34736	4945	29791
142	93	RAAS	9305	Paiwas	2088.6	16.9601647	14.43359188	35423	5277	30146	35784	6607	29177	Bocana De Paiwas	12.78333333	-85.11666667	124700	-850700	145	0	0	0	0	0	0	35240	3583	31657	34028	4428	29600	4974	29497	34471	5190	29646	34836	Atlantico	RAAS	Paiwas	34231	4616	29616	34434	4811	29623	34634	5013	29621	34834	5205	29629	35032	5420	29612	35228	5642	29586	35423	5875	29548	35546	6108	29438	35666	6351	29315
143	93	RAAS	9310	La Cruz de Río Grande	3448.52	9.247155301	8.745490819	31889	1730	30159	35977	3313	32664	Grande La Cruz de	13.1	-84.18333333	130600	-841100	19	7150	155	6995	12605	150	12455	14181	1041	13140	23671	885	22786	1361	26122	27483	1534	26726	28260	Atlantico	RAAS	La Cruz de Rio Grande	24706	1016	23690	25785	1166	24619	26908	1337	25571	28078	1529	26550	29297	1752	27545	30567	2002	28565	31889	2281	29608	33200	2590	30610	34562	2932	31630
144	93	RAAS	9312	Desembocadura de Río Grande	1738.29	2.22402476	0.686306658	3866	2673	1193	3929	2826	1103	Karawala	12.91666667	-83.56666667	125500	-833400	5	0	0	0	0	0	0	3228	1923	1305	3662	2461	1202	2587	1175	3762	2629	1173	3802	Atlantico	RAAS	Desembocadura del Rio Grande	3691	2503	1189	3721	2544	1176	3750	2587	1163	3779	2621	1158	3808	2662	1146	3837	2700	1137	3866	2738	1128	3887	2768	1119	3908	2798	1110
145	93	RAAS	9315	Laguna de Perlas	1963.43	7.38656331	4.00981955	14503	6630	7873	16304	8081	8223	Laguna de Perlas 	12.33333333	-83.66666667	122000	-834000	3	0	0	0	0	0	0	6502	3457	3045	10856	4706	6150	5673	6879	12552	5897	7002	12899	Atlantico	RAAS	Laguna de Perlas	11318	4980	6337	11797	5269	6528	12297	5575	6722	12816	5877	6939	13356	6213	7144	13918	6561	7357	14503	6926	7577	15081	7293	7788	15681	7680	8001
146	93	RAAS	9316	El Tortuguero	3403.07	11.16580029	10.05268772	37998	3788	34210	43279	5869	37411	El Tortuguero	12.81666667	-84.2	124900	-841200	20	0	0	0	0	0	0	12198	1082	11116	27587	2255	25332	2953	28120	31073	3210	28982	32192	Atlantico	RAAS	El Tortuguero	28885	2486	26398	30241	2739	27502	31659	3018	28641	33141	3315	29826	34689	3649	31040	36307	4016	32292	37998	4421	33577	39686	4859	34827	41445	5340	36105
147	93	RAAS	9320	Rama	3752.9	15.25780063	10.39596046	57261	18246	39015	57845	20569	37275	El Rama	12.15	-84.21666667	120900	-841300	9	17219	600	16619	49895	1432	48463	56920	17953	38967	55006	16340	38666	17478	38244	55722	17944	38368	56312	Atlantico	RAAS	El Rama	55335	16759	38576	55662	17184	38478	55986	17615	38371	56309	17997	38312	56629	18437	38191	56946	18871	38075	57261	19314	37947	57459	19725	37734	57654	20144	37510
148	93	RAAS	9323	El Ayote	831	18.77135981	12.12755716	15599	5521	10078	16825	6583	10241	El Ayote	12.5	-84.81666667	123000	-844900	130	0	0	0	0	0	0	12861	0	12861	12861	4268	8594	4943	9225	14168	5118	9342	14460	Atlantico	RAAS	El Ayote	13224	4467	8756	13595	4675	8921	13976	4891	9085	14367	5100	9267	14768	5333	9435	15178	5571	9607	15599	5819	9780	15999	6063	9935	16407	6319	10088
149	93	RAAS	9325	Muelle de los Bueyes	1379.77	17.25360024	10.79382796	23806	8913	14893	24049	9908	14141	Muelle de los Bueyes	12.06666667	-84.53333333	120400	-843200	99	0	0	0	0	0	0	24062	2690	21372	22868	8049	14820	8556	14610	23166	8766	14646	23412	Atlantico	RAAS	Muelle de los Bueyes	23005	8238	14767	23141	8430	14711	23276	8623	14653	23410	8792	14618	23543	8989	14554	23675	9180	14496	23806	9373	14433	23889	9550	14339	23969	9728	14241
150	93	RAAS	9330	Kukra - Hill	1193.23	8.011028888	5.183409737	9559	3374	6185	9744	3802	5941	Kukra Hill	12.23333333	-83.75	121400	-834500	50	0	0	0	0	0	0	7658	2916	4742	8992	2974	6018	3236	6066	9302	3318	6082	9400	Atlantico	RAAS	Kukrahill	9073	3056	6017	9154	3138	6016	9235	3223	6012	9316	3298	6018	9397	3384	6012	9478	3469	6009	9559	3556	6003	9621	3636	5984	9683	3718	5964
151	93	RAAS	9335	Corn Island	9	810.6666667	0	7296	7296	0	7467	7467	0	Corn Island	12.16666667	-83.05	121000	-830300	4	1896	1896	0	2083	2083	0	5507	5507	0	6799	6799	0	7045	0	7045	7125	0	7125	Atlantico	RAAS	Corn Island	6870	6870	0	6940	6940	0	7011	7011	0	7082	7082	0	7153	7153	0	7225	7225	0	7296	7296	0	7353	7353	0	7410	7410	0
152	93	RAAS	9340	Bluefields	4774.75	11.49023509	0.975129588	54863	50207	4656	55923	53019	2904	Bluefields	12	-83.75	120000	-834500	20	17706	9758	7948	25937	14406	11531	42434	38431	4003	51607	45981	5626	43361	4255	47616	44030	4083	48113	Atlantico	RAAS	Bluefields	52072	46789	5282	52537	47601	4935	53002	48415	4587	53467	49078	4390	53933	49885	4047	54398	50627	3771	54863	51346	3517	55219	51937	3282	55572	52496	3076
153	93	RAAS	9345	Nueva Guinea	2677.46	28.82993583	16.58101335	77191	32796	44395	77978	36103	41875	Nueva Guinea	11.68333333	-84.45	114100	-842700	210	0	0	0	0	0	0	87677	34690	52987	74151	29780	44371	31524	43591	75115	32253	43658	75911	Atlantico	RAAS	Nueva Guinea	74594	30437	44157	75035	31101	43934	75473	31772	43700	75907	32349	43558	76339	33025	43313	76767	33678	43089	77191	34334	42857	77459	34925	42534	77721	35515	42206
